count_of_chunks,corpus,chunk1,chunk2,euclidean_distance_chunk1_and_chunk2,euclidean_corpus_and_chunk1,euclidean_corpus_and_chunk2,euclidean_corpus_and_all_chunks,length_corpus,length_chunk1,length_chunk2,logfreq_corpus,logfreq_chunk1,logfreq_chunk2
2,mondtál,mond,tál,16.114818572998047,20.602455139160156,10.90217113494873,7.281832695007324,7,4,3,4.416357541374134,4.603274316614141,3.1936810295412816
2,valahogy,vala,hogy,17.500585556030273,21.378299713134766,11.580132484436035,14.110847473144531,8,4,4,4.415824398888761,2.859138297294531,6.666654799202157
2,barátok,barát,ok,17.068286895751953,12.062003135681152,24.716341018676758,10.643993377685547,7,5,2,4.412830002562326,4.12671570368574,4.570554614307831
2,dehogy,de,hogy,20.313167572021484,17.989816665649414,9.670032501220703,14.350260734558105,6,2,4,4.41047354272833,6.256956950858988,6.666654799202157
2,kapott,kap,ott,8.036941528320312,13.36426067352295,13.938776016235352,7.21979284286499,6,3,3,4.40679557266825,4.301377292349344,5.565865520533478
2,egyébként,egyéb,ként,20.88039207458496,8.559700012207031,24.161502838134766,8.487436294555664,9,5,4,4.406761529046543,3.7544247892772584,2.6665179805548807
2,ismeri,is,meri,10.950033187866211,13.981151580810547,16.664154052734375,9.3787260055542,6,2,4,4.394346596868313,6.274002353245673,3.03342375548695
2,bárcsak,bár,csak,19.686424255371094,14.347258567810059,29.474939346313477,10.0631103515625,7,3,4,4.394346596868313,4.661964047212368,6.20255043253116
2,értettem,ér,tettem,22.26314353942871,22.763315200805664,12.073259353637695,11.312936782836914,8,2,6,4.393996133258346,4.4348402532975735,4.691090337134362
2,értettem,ért,ettem,15.24392318725586,20.544824600219727,12.669593811035156,8.921956062316895,8,3,5,4.393996133258346,4.410439786210347,3.787176992470554
2,segíthetek,segít,hetek,11.555828094482422,14.09797477722168,15.922821044921875,4.955214023590088,10,5,5,4.391675953237296,4.486402138975022,3.4824447919182653
2,ugyanaz,ugyan,az,17.143943786621094,8.468770027160645,22.04417610168457,4.488926887512207,7,5,2,4.390811509786938,4.824125833916549,6.741609849017849
2,mindannyian,mind,annyian,17.665531158447266,21.201244354248047,11.265007019042969,8.694751739501953,11,4,7,4.389059713506695,4.963131168842824,2.761927838420529
2,ismered,is,mered,16.303680419921875,16.240867614746094,8.529411315917969,10.598529815673828,7,2,5,4.382593316644367,6.274002353245673,3.2518814545525276
2,késő,kés,ő,20.772869110107422,11.122904777526855,24.976219177246094,8.177935600280762,4,3,1,4.382107135819026,3.641077313325374,5.7438404551698286
2,tartok,tart,ok,11.372574806213379,12.215433120727539,16.015134811401367,6.735420227050781,6,4,2,4.367281357632943,4.57142930306149,4.570554614307831
2,millió,milli,ó,19.87393569946289,8.091095924377441,21.93745994567871,10.678879737854004,6,5,1,4.359854446750358,2.403120521175818,5.3880727689225045
2,miközben,mi,közben,18.80842399597168,21.882080078125,13.02978801727295,9.36523723602295,8,2,6,4.349063728125951,6.162454474887796,4.498834148837391
2,tettél,tett,él,16.091297149658203,9.010810852050781,22.814998626708984,5.703944683074951,6,4,2,4.34682222839354,4.623042434246382,4.520928734708947
2,maradjon,mar,adjon,16.799375534057617,19.812257766723633,10.703004837036133,7.454791069030762,8,3,5,4.344863649797128,3.1245042248342823,4.016113666358908
2,közül,köz,ül,11.710328102111816,12.82494831085205,15.98431396484375,8.911406517028809,5,3,2,4.344451223686138,2.6473829701146196,4.029221394253928
2,gondolok,gondol,ok,22.340991973876953,3.7641377449035645,21.57024383544922,6.8929009437561035,8,6,2,4.342580577381627,4.384335489934284,4.570554614307831
2,őszintén,ő,szintén,24.92452049255371,23.862276077270508,7.670624256134033,9.939399719238281,8,1,7,4.342007929017339,5.7438404551698286,3.9811841373983543
2,amivel,a,mivel,15.837705612182617,16.456846237182617,7.613382339477539,10.11670207977295,6,1,5,4.341592780745293,7.140228930161251,4.840413506290744
2,csinálja,csinálj,a,27.11798095703125,2.108905553817749,27.92765235900879,4.230719566345215,8,7,1,4.3405036031604505,4.076567630444938,7.140228930161251
2,tudott,tud,ott,14.223819732666016,8.095577239990234,20.48162841796875,4.373811721801758,6,3,3,4.340483774625717,4.9824657172231515,5.565865520533478
2,életet,él,etet,7.703939437866211,21.676837921142578,21.07174301147461,9.202609062194824,6,2,4,4.338874649301381,4.520928734708947,2.45178643552429
2,szerettem,szer,ettem,15.20341968536377,20.205337524414062,11.893714904785156,7.531741619110107,9,4,5,4.338217366601095,3.13481437032046,3.787176992470554
2,látok,lát,ok,16.150726318359375,11.762547492980957,23.335926055908203,10.025915145874023,5,3,2,4.337878377801204,4.081599312732936,4.570554614307831
