count_of_chunks,corpus,chunk1,chunk2,chunk3,euclidean_distance_chunk1_and_chunk2,euclidean_distance_chunk1_and_chunk3,euclidean_distance_chunk2_and_chunk3,euclidean_corpus_and_chunk1,euclidean_corpus_and_chunk2,euclidean_corpus_and_chunk3,euclidean_corpus_and_all_chunks,length_corpus,length_chunk1,length_chunk2,length_chunk3,logfreq_corpus,logfreq_chunk1,logfreq_chunk2,logfreq_chunk3
3,rendőrségre,rend,őrs,égre,23.068225860595703,17.454959869384766,19.508296966552734,28.791650772094727,22.45353126525879,20.35079002380371,8.046211242675781,11,4,3,4,3.582177037688409,3.4260230156898763,2.6532125137753435,3.082066934285113
3,rendőrségre,rend,őrség,re,25.358808517456055,9.286127090454102,25.145736694335938,28.791650772094727,15.155652046203613,29.945152282714844,7.9519267082214355,11,4,5,2,3.582177037688409,3.4260230156898763,3.4584867637982066,3.6036855496146996
3,maradhatok,mar,adhat,ok,11.983851432800293,11.798447608947754,11.61417293548584,20.594526290893555,23.557703018188477,22.656604766845703,9.751712799072266,10,3,5,2,3.5770319856260313,3.1245042248342823,3.1950689964685903,4.570554614307831
3,maradhatok,marad,ha,tok,17.739164352416992,19.791061401367188,11.832426071166992,9.499157905578613,23.079317092895508,24.850147247314453,8.883342742919922,10,5,2,3,3.5770319856260313,4.537982711445016,6.17849550526079,2.8779469516291885
3,maradhatok,marad,hat,ok,16.24977684020996,17.345430374145508,12.136322021484375,9.499157905578613,21.865768432617188,22.656604766845703,9.536456108093262,10,5,3,2,3.5770319856260313,4.537982711445016,4.542788093450676,4.570554614307831
3,kaphatok,kap,ha,tok,7.640138626098633,10.220327377319336,11.832426071166992,20.9553165435791,21.72707748413086,23.852365493774414,6.986353397369385,8,3,2,3,3.576916955965207,4.301377292349344,6.17849550526079,2.8779469516291885
3,kaphatok,kap,hat,ok,9.301392555236816,9.720582962036133,12.136322021484375,20.9553165435791,20.418333053588867,22.018970489501953,8.94672679901123,8,3,3,2,3.576916955965207,4.301377292349344,4.542788093450676,4.570554614307831
3,álljatok,áll,ja,tok,11.14220142364502,13.735230445861816,11.181563377380371,20.61576271057129,20.396270751953125,23.24700355529785,9.314573287963867,8,3,2,3,3.5671440451956573,4.910149302250238,5.05815640487046,2.8779469516291885
3,kapjátok,kapj,át,ok,15.117855072021484,16.327829360961914,10.321622848510742,12.461995124816895,20.76894760131836,22.21964454650879,12.441512107849121,8,4,2,2,3.5671440451956573,3.2610248339923973,5.1193482825304715,4.570554614307831
3,zavarásért,zavar,ás,ért,16.77603530883789,17.82387351989746,11.39943790435791,13.61355972290039,27.041519165039062,27.60131072998047,6.652490139007568,10,5,2,3,3.5613399414589013,4.021891873919109,2.8651039746411278,4.410439786210347
3,tiszteletet,tiszt,el,etet,19.672441482543945,16.390043258666992,12.036300659179688,17.475914001464844,31.365835189819336,29.05060577392578,8.079058647155762,11,5,2,4,3.5560611590095323,3.752202153176521,6.021003960549296,2.45178643552429
3,egyetemi,egye,te,mi,15.536027908325195,16.406335830688477,11.785383224487305,9.95427131652832,21.51461410522461,21.696205139160156,8.582279205322266,8,4,2,2,3.5520595341878844,3.2711443179490782,5.976474700373688,6.162454474887796
3,csináljátok,csinálj,át,ok,26.382505416870117,27.47109603881836,10.321622848510742,12.250864028930664,30.187549591064453,31.019845962524414,13.04782772064209,11,7,2,2,3.5403294747908736,4.076567630444938,5.1193482825304715,4.570554614307831
3,hagyjatok,hagy,ja,tok,17.149486541748047,20.520076751708984,11.181563377380371,12.513197898864746,26.256628036499023,28.85880470275879,9.278950691223145,9,4,2,3,3.5375672571526753,4.049721822152435,5.05815640487046,2.8779469516291885
3,döntöttél,dönt,öt,tél,16.8233699798584,10.853962898254395,15.703301429748535,13.301851272583008,26.21417808532715,15.405818939208984,4.647225379943848,9,4,2,3,3.519302849235429,3.5851221863068155,4.697708720591836,3.3209766773428235
3,várható,vár,ha,tó,9.629167556762695,14.953124046325684,15.342690467834473,14.563809394836426,16.923770904541016,11.135897636413574,10.226205825805664,7,3,2,2,3.5182506513085,4.507248513918786,6.17849550526079,3.4243915544102776
3,hallottátok,hallott,át,ok,14.069705963134766,15.907674789428711,10.321622848510742,17.37358283996582,26.771373748779297,28.073226928710938,12.471323013305664,11,7,2,2,3.5173278822943734,3.9983901303180476,5.1193482825304715,4.570554614307831
3,miszerint,mi,szer,int,12.862713813781738,11.965507507324219,9.130060195922852,22.33796501159668,22.146230697631836,22.252180099487305,8.673310279846191,9,2,4,3,3.5160062303860475,6.162454474887796,3.13481437032046,2.4785664955938436
3,tanácsadó,tan,ács,adó,10.392219543457031,10.915307998657227,9.847591400146484,25.167583465576172,26.652881622314453,26.96211051940918,7.881139755249023,9,3,3,3,3.5043349118024643,3.0499928569201424,2.534026106056135,3.207095540419218
